"","ISO3","species","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"1","AGO","CO2",1.75944203901219e-06,0.0274245513723481,0.185649178470428,0.211597963009176,0.191370742195328,0.116085410224366,0.074837851543585,0.0506518011875629,0.036369309414258,0.0286093600103085,0.0219125737012295,0.0166364656633957,0.0126445618240169,0.00981806133655646,0.00782177122021519,0.00856863938518659,1,3567512.04678
"2","ARE","CO2",0.00252705813802529,0.221377551900562,0.267450526566798,0.171921102632961,0.107701608104544,0.0688246076271034,0.0442259187148704,0.0316483893450576,0.0234062958701019,0.0165746149140377,0.012137007362431,0.00925611939885756,0.00710294269531378,0.00579678610345366,0.00484435790287202,0.00520511272300985,1,70673285.103
"3","ARG","CO2",0.0116868595834281,0.25444135251925,0.297028220293013,0.170296006073724,0.0983179239662962,0.0568794052493463,0.0329469199674045,0.020835167505324,0.0144544516742864,0.0103376941899737,0.00781828459670033,0.00622031930535864,0.00509084807620426,0.00431400293100299,0.00385570053230289,0.00547684353638541,1,41411755.92865
"4","ARM","CO2",0.0188084747179175,0.246578765145509,0.265086811925708,0.139183010765111,0.0911217665354407,0.0641619703156006,0.0431044217921245,0.0311017506203663,0.0226333855934491,0.0167795250838913,0.0131659090005104,0.0109830187928723,0.0094521026271409,0.0084275029611459,0.0078227980004838,0.0115887861227288,1,1483943.42184
"5","AUS","CO2",0.00227503408251245,0.0416252472530473,0.131079177586491,0.227849402910386,0.203222018808685,0.134386490020138,0.0781774181745806,0.0508745221576707,0.0352044019666205,0.0254222363987118,0.018615755827477,0.0140483883125214,0.010871950631486,0.00897946569195422,0.00778544153159429,0.00958304864612338,1,188235871.93963
"6","AUT","CO2",0.00986547189708059,0.281323095513931,0.239116327164687,0.162836381604816,0.100344799341661,0.064075112155837,0.0390882301340257,0.0255067809489568,0.0181521044346516,0.0132234588754466,0.0103518913849644,0.00848378528921023,0.00690384732841757,0.00602746134805771,0.00550225245420392,0.0091990001240529,1,7175997.04118896
"7","AZE","CO2",0.0109361904100053,0.24484190016563,0.273254852528185,0.174567825029475,0.0962564060390204,0.0593021584233042,0.0377674596410428,0.0265856245403268,0.0193287562007886,0.0139384674213759,0.0106247488774295,0.00837823851231503,0.00681385203830197,0.00569488164062935,0.0050157931872212,0.00669284534494886,1,11776185.23484
"8","BEL","CO2",0.00949751423559122,0.350099400038427,0.256067405928109,0.141110249333796,0.0884861673692411,0.0548133207082417,0.0321412867578543,0.0203134903759879,0.0140597037769204,0.00936068476000334,0.00686371680031664,0.00498506156256338,0.00378709791404218,0.00313427220247019,0.00264247802230175,0.0026381502141332,1,16303247.2376478
"9","BEN","CO2",0,0.125321311998786,0.245564592881474,0.251457739807264,0.148823876711577,0.0830256837385614,0.0460485236778248,0.0285105218378411,0.0189843326989507,0.0127367699829045,0.0091469251806075,0.00715638327550577,0.00585722468856642,0.00501954378612409,0.00457228401011567,0.00777428572389721,1,51020.76132
"10","BFA","CO2",0,0.152314129789061,0.312257222344967,0.237432477314833,0.127566976948794,0.0674472037825856,0.0384868185291085,0.0225584112969174,0.0132942924783342,0.00825563992001162,0.0053894792410443,0.00387639377544072,0.00307919527379419,0.00257030188512756,0.00240226538282327,0.00306919203715828,1,1012777.92
"11","BGD","CO2",0.000149777306600487,0.160296006389049,0.252769469868264,0.191548863582233,0.117890911914425,0.0749757575964424,0.0505181094555828,0.0365310528329454,0.0275941108024833,0.0208153857466301,0.0162649201350693,0.0130993062117968,0.0106336627277767,0.00896394186855506,0.00776577803710025,0.0101829455250468,1,29711121.50981
"12","BGR","CO2",0.000582289017509226,0.020348724891435,0.109410709574696,0.186492591746571,0.253000375352946,0.206195306450705,0.0958358826161349,0.0423783995919592,0.0250332197158913,0.0166588948926466,0.0123251969660632,0.00923838975500363,0.00721638429531376,0.00567394079817018,0.00482728881287655,0.00478240552207749,1,24438465.1003948
"13","BHR","CO2",0.00245057647118724,0.253699761343066,0.285830609921053,0.162500034057618,0.0862222710630535,0.0551565525067133,0.0356108531687302,0.0262803201519024,0.0210559504438826,0.0165636457457881,0.0133186991350167,0.0110511026170576,0.00875719953349754,0.00744938172461556,0.00639133176112241,0.00766171035569531,1,20380468.20714
"14","BIH","CO2",0,0,0.135237560824248,0.237949163460823,0.22094274421071,0.149611474185256,0.0834447404222063,0.0453961281547242,0.0304196695470994,0.0233872526239316,0.0182510247249651,0.014870488580077,0.0122414700128836,0.010242068551247,0.00860186156127905,0.00940435314054989,1,14073997.0353
"15","BLR","CO2",0.00212839492163162,0.140752476019501,0.202036144858391,0.223164521768982,0.185018408125454,0.0976715095953932,0.0499558579960703,0.0297043838795811,0.019755857836341,0.0136139049150279,0.00977518802731211,0.00733848936440334,0.00566315769395839,0.00463499683035907,0.00402030887650358,0.00476639929108964,1,24197887.90683
"16","BOL","CO2",0.0147525375133799,0.207534408385226,0.237640862221029,0.162822062252695,0.101999964631828,0.0719691067016411,0.0489573486038434,0.0356215128868289,0.0268623882497255,0.0196071285216843,0.0153416135570494,0.0127160126866176,0.0109237812165227,0.00965117209904078,0.00904515348520796,0.0145549469876809,1,3524868.77094
"17","BRA","CO2",0.000906271610629722,0.252124462812114,0.280682698492804,0.175504671847405,0.106611046690647,0.0581325944572458,0.0340632083666419,0.0231938594480954,0.016746701696445,0.0121017941655341,0.00919364265486507,0.00733517651447641,0.00601295077533008,0.00515503797524774,0.00471350925426316,0.00752237323825628,1,86854092.62988
"18","BRN","CO2",1.52441462673514e-05,0.0271963614705747,0.0702500829493354,0.114176427104811,0.125746329132064,0.118406732750859,0.106158723891848,0.0957494738560387,0.0835415742476063,0.067123043828213,0.0525259753111449,0.0405500683854406,0.0308337373261726,0.0243670573968866,0.0201454440924653,0.0232137241102725,1,2731113.29865
"19","BWA","CO2",0,0.000428038760320106,0.266907161483363,0.335630119973519,0.173831580039148,0.0993364570991217,0.0506960807429465,0.0258846135729375,0.0155710121400131,0.00993513548706619,0.006549239418858,0.0047713651328954,0.00349265109091143,0.00267307703845647,0.00215861676126613,0.00213485125917722,1,4180338.07715
"20","CAN","CO2",0.00528211076878218,0.126793835690385,0.286305903396521,0.244144513762228,0.127591415028905,0.0732210067654119,0.0420599328050173,0.0265402605417232,0.0185571650598845,0.0130530547056902,0.00953390039876734,0.00738360250637574,0.00579014922153585,0.00473332140880963,0.0041119761652351,0.00489785177472843,1,95830112.69465
